Contig	AN_TR1_4_S157_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	AN_TR1_5_S158_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	AN_TR1_6_S159_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	AN_TR1_8_S160_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	AN_TR2_4_S161_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	AN_TR2_5_S162_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	AN_TR2_6_S163_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	AN_TR2_8_S164_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	AN_TR3_4_S165_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	AN_TR3_5_S166_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	AN_TR3_6_S167_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	AN_TR3_8_S168_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	BB_TR1_4_S169_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	BB_TR1_5_S170_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	BB_TR1_6_S171_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	BB_TR1_8_S172_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	BB_TR2_4_S173_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	BB_TR2_5_S174_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	BB_TR2_6_S175_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	BB_TR2_8_S176_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	BB_TR3_4_S177_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	BB_TR3_5_S178_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	BB_TR3_6_S179_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	BB_TR3_8_S180_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	ML_TR1_4_S181_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	ML_TR1_5_S182_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	ML_TR1_6_S183_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	ML_TR1_8_S184_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	ML_TR2_4_S185_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	ML_TR2_5_S186_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	ML_TR2_6_S187_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	ML_TR2_8_S188_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	ML_TR3_4_S189_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	ML_TR3_5_S190_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	ML_TR3_6_S191_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean	ML_TR3_8_S192_L004.pd.sprotfin_pd.sI.qf60.sprotfin Mean
NP_598320.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NP_046751.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NP_046750.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NP_524564.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NP_524565.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NP_524566.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NP_524567.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NP_524569.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NP_524570.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NP_524572.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NP_752644.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NP_604425.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NP_690830.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NP_690831.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NP_085472.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NP_042305.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NP_835475.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NP_835478.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NP_047353.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
